timestamp,open,high,low,close,Volume
1735776000000,2.3329,2.4522,2.3297,2.4024,361196381.0
1735862400000,2.4024,2.4798,2.3966,2.4547,233672728.0
1735948800000,2.4546,2.509,2.3999,2.4201,179793926.0
1736035200000,2.4201,2.4285,2.3273,2.3994,155537860.0
1736121600000,2.3993,2.4584,2.3674,2.42,194293277.0
1736208000000,2.42,2.4683,2.2572,2.2712,342477338.0
1736294400000,2.2712,2.3986,2.2001,2.3731,401036029.0
1736380800000,2.373,2.3956,2.2351,2.2722,294585086.0
1736467200000,2.2722,2.3699,2.2465,2.3414,248018278.0
1736553600000,2.3414,2.6036,2.3249,2.5764,349172496.0
1736640000000,2.5764,2.5835,2.47,2.5046,222912333.0
1736726400000,2.5045,2.5634,2.3297,2.5232,515356746.0
1736812800000,2.5232,2.7,2.5126,2.6673,397227342.0
1736899200000,2.6673,3.2,2.6492,3.1429,1062630122.23
1736985600000,3.143,3.4,2.9228,3.2451,1110371222.2
1737072000000,3.245,3.3544,3.1758,3.2922,529933494.0
1737158400000,3.2923,3.2996,3.058,3.2697,458088944.0
1737244800000,3.2697,3.2929,2.8277,2.9587,663328805.0
1737331200000,2.9586,3.3695,2.909,3.1053,838761258.0
1737417600000,3.1053,3.246,3.0124,3.1738,376423502.0
1737504000000,3.1739,3.2854,3.1237,3.1803,291761274.0
1737590400000,3.1802,3.1868,3.0374,3.1194,305314846.0
1737676800000,3.1194,3.2031,3.055,3.1009,232626964.0
1737763200000,3.1008,3.1446,3.0784,3.108,99489857.0
1737849600000,3.1079,3.1443,3.0115,3.0223,128937813.0
1737936000000,3.0222,3.0587,2.6559,3.0552,660056174.0
1738022400000,3.0552,3.214,3.0062,3.0572,369470786.0
1738108800000,3.0572,3.1363,2.9673,3.0683,254756655.0
1738195200000,3.0683,3.1544,3.0466,3.1276,173143314.0
1738281600000,3.1276,3.1333,3.003,3.0361,162235322.0
1738368000000,3.0361,3.0727,2.8281,2.8778,173601404.0
1738454400000,2.8779,2.9559,2.4603,2.58,684089012.0
1738540800000,2.5801,2.7814,1.7711,2.7001,1866758972.0
1738627200000,2.7,2.7874,2.4209,2.5274,621552965.0
1738713600000,2.5275,2.5692,2.3384,2.381,338815093.0
1738800000000,2.381,2.4699,2.2772,2.325,322896937.0
1738886400000,2.3251,2.542,2.2655,2.3968,447487945.0
1738972800000,2.3969,2.4372,2.3506,2.419,154717204.0
1739059200000,2.419,2.5079,2.3113,2.3928,204205603.0
1739145600000,2.3928,2.4733,2.3235,2.4237,207257933.0
1739232000000,2.4238,2.529,2.3708,2.4131,248182176.0
1739318400000,2.413,2.4962,2.3323,2.4734,227957636.0
1739404800000,2.4734,2.6061,2.4154,2.5599,212478703.0
1739491200000,2.56,2.8356,2.53,2.7384,407541122.0
1739577600000,2.7384,2.8335,2.713,2.7619,184181907.0
1739664000000,2.7619,2.8054,2.6879,2.7283,132387997.0
1739750400000,2.7283,2.7648,2.6075,2.6599,212813356.0
